codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
244;244012;ROTTA DEL GIARDINO;STRADA COMUNALE PIANELLA;BUDRIO;705861;941986;44,600003;11,592882;537
244;244015;CASONI;STRADA COMUNALE IDICE ABBANDONATO;MOLINELLA;707125;942819;44,607132;11,609128;537
244;244018;GUARDA;STRDA COMUNALE CANALE;GUARDA;708168;943191;44,610176;11,622409;537
247;10078;CASTEL S.PIETRO MARTIRI P;PIAZZA DEI MARTIRI PARTIGIANI 7;CASTEL SAN PIETRO TERME;706342;919726;44,39967;11,590052;513
247;10085;RIO ROSSO;VIA EMILIA LEVANTE FR 2273;CASTEL SAN PIETRO TERME;708888;918652;44,389282;11,621559;513
247;10098;PIRO PIRO;VIA EMILIA 4;TOSCANELLA;710951;917644;44,37962;11,647024;514
247;10101;DOZZA BIVIO;VIA EMILIA 195;DOZZA;711794;917216;44,375525;11,657421;514
247;11910;CASTEL S.PIETRO T. FONTE;VIALE TERME FR PL 18;CASTEL SAN PIETRO TERME;706246;918808;44,391441;11,588484;513
247;11913;CASTEL S.PIETRO T. ISTITU;VIALE TERME FR CABINA ENEL;CASTEL SAN PIETRO TERME;706260;918313;44,386986;11,588463;513
247;12061;POGGIO GRANDE CHIESA;VIA STRADELLI GUELFI FR 23;POGGIO;706296;924124;44,439237;11,591223;513
330;600207;GIOVECCA MONTEBELLO;CSO DELLA GIOVECCA 105;FERRARA;707539;968277;44,835955;11,624678;600
330;600352;BIVIO S. BARTOLO [624];VIA COMACCHIO 319;FERRARA;709497;966598;44,820284;11,648732;600
330;600358;COCOMARO DI CONA KM4;VIA COMACCHIO 521;FERRARA;711777;966033;44,814531;11,677303;600
330;600362;CONA IDROVORA;VIA COMACCHIO 747;CONA;713202;965364;44,808092;11,695025;600
330;600365;CONA;VIA COMACCHIO F67;FERRARA;714208;965180;44,806137;11,707655;600
330;600368;CONA CHIESA;VIA COMACCHIO 1105;CONA;714745;965027;44,8046;11,714373;600
330;600477;STAZIONE;VIA SAN GIACOMO pensilina I;FERRARA;705874;968917;44,842192;11,603894;600
330;600593;DARSENA IV NOVEMBRE;VIA DARSENA 67C;FERRARA;706052;968193;44,83563;11,60585;600
330;606004;LIDO ESTENSI LOGONOVO [08;VIALE DEI TIGLI N.29;LIDO DEGLI ESTENSI;757171;950574;44,660697;12,242784;604
330;606007;LIDO ESTENSI CHIESA [082];VIALE DEGLI ULIVI FR. N. 12;LIDO DEGLI ESTENSI;756959;951242;44,666777;12,240449;604
330;606052;COMACCHIO ZUCCHERIFICIO [;VIA SPINA INCR. VILLAGGIO SAN FRANCESCO;COMACCHIO;751061;954607;44,699109;12,16781;627
330;606055;COMACCHIO EX MUTUA [015];VIA SPINA N. FR. 75;COMACCHIO;751682;954354;44,696618;12,175512;627
330;606059;COMACCHIO CIAMBELLINO [02;VIA SPINA N. FR. 47;COMACCHIO;751939;954154;44,69473;12,178652;627
330;606062;COMACCHIO DISPENSARIO [00;VIA MARINA N.FR.41;COMACCHIO;752739;953615;44,689604;12,188468;627
330;606065;COMACCHIO DISPENSARIO [00;VIA MARINA 31;COMACCHIO;752634;953715;44,690539;12,187194;627
330;606068;COMACCHIO CIMITERO;VIA STRADA PROVINCIALE PER OSTELLATO;COMACCHIO;754025;952392;44,678157;12,204065;603
330;606075;VIALE BONNET - BANCA [036;VIALE BONNET N.31;PORTO GARIBALDI;756588;952453;44,677794;12,236382;603
330;606078;PORTO GARIBALDI VIA DEI M;VIALE DEI MILLE 3;PORTO GARIBALDI;756974;952562;44,678636;12,2413;603
330;606123;ARVEDA [070];VIALE LEOPARDI GIACOMO FR. N. 92;LIDO DEGLI ESTENSI;756267;951544;44,669738;12,231884;604
330;606126;LIDO ESTENSI MANZONI [075;VIA MANZONI ALESSANDRO FR. N. 39;LIDO DEGLI ESTENSI;757062;951797;44,671728;12,242024;604
330;606129;LIDO SPINA VIALE PUCCINI;VIALE PUCCINI GIACOMO FR. N. 96;LIDO DI SPINA;757889;947977;44,637098;12,250521;604
330;606136;LIDO SPINA LA MERIDIANA [;VIALE VERDI GIUSEPPE FR. N. 39;LIDO DI SPINA;757786;948595;44,642689;12,249534;604
330;606139;LIDO SPINA AGENZIA BRUNET;VIALE LEONARDO DA VINCI FR. N. 109;LIDO DI SPINA;757804;948882;44,645262;12,249905;604
330;606142;LIDO SPINA BAR DEL MORO [;VIALE MICHELANGELO N. 1;LIDO DI SPINA;757586;949592;44,651722;12,247517;604
330;606145;LIDO SPINA BARRACUDA [091;VIALE RAFFAELLO SANZIO FR. N.121;COMACCHIO;757054;949954;44,655166;12,241;604
330;612002;MASI TORELLO CENTRO;VIALE ADRIATICO;MASI TORELLO;721177;964095;44,794258;11,795206;622
330;615000;BIVIO MIGLIARINO;VIA LIDI FERRARESI;MIGLIARINO;730575;959363;44,748746;11,911731;623
330;617002;ROVERETO CENTRO;VIA FERRARA;OSTELLATO;727314;960962;44,764165;11,8713;622
330;617005;ROVERETO EX MULINO2;VIA FERRARA;OSTELLATO;726404;961217;44,766746;11,859929;622
330;617037;SAN VITO;VIA COMACCHIO 168;SAN VITO;727606;959905;44,754569;11,874514;622
331;600195;ALFONSO D`ESTE MEDAGLIE D;VLE ALFONSO I D`ESTE 2;FERRARA;708196;967780;44,831294;11,632777;600
331;600204;GIOVECCA MONTEBELLO;CSO DELLA GIOVECCA 112;FERRARA;707540;968268;44,835873;11,624687;600
331;600593;DARSENA IV NOVEMBRE;VIA DARSENA 67C;FERRARA;706052;968193;44,83563;11,60585;600
331;600773;BORGO GARBINI;VIA RAVENNA F350;FERRARA;708469;965333;44,809209;11,635224;600
331;606004;LIDO ESTENSI LOGONOVO [08;VIALE DEI TIGLI N.29;LIDO DEGLI ESTENSI;757171;950574;44,660697;12,242784;604
331;606007;LIDO ESTENSI CHIESA [082];VIALE DEGLI ULIVI FR. N. 12;LIDO DEGLI ESTENSI;756959;951242;44,666777;12,240449;604
331;606027;CORTE LIVENZA [018];VIA STRADA PROVINCIALE PER OSTELLATO FR.;COMACCHIO;748879;954658;44,700328;12,140336;627
331;606043;LIDO DI SPINA DEGLI ETRUS;VIALE ETRUSCHI;COMACCHIO;756927;948287;44,640228;12,238566;604
331;606046;BIVIO STRADA PALLOTTA [01;VIA STRADA PROVINCIALE PER OSTELLATO INC;COMACCHIO;749830;954730;44,700645;12,152356;627
331;606052;COMACCHIO ZUCCHERIFICIO [;VIA SPINA INCR. VILLAGGIO SAN FRANCESCO;COMACCHIO;751061;954607;44,699109;12,16781;627
331;606059;COMACCHIO CIAMBELLINO [02;VIA SPINA N. FR. 47;COMACCHIO;751939;954154;44,69473;12,178652;627
331;606062;COMACCHIO DISPENSARIO [00;VIA MARINA N.FR.41;COMACCHIO;752739;953615;44,689604;12,188468;627
331;606065;COMACCHIO DISPENSARIO [00;VIA MARINA 31;COMACCHIO;752634;953715;44,690539;12,187194;627
331;606072;COMACCHIO DEPOSITO [021];S.P. DI COMACCHIO N.40;COMACCHIO;754618;952311;44,677219;12,211495;603
331;606075;VIALE BONNET - BANCA [036;VIALE BONNET N.31;PORTO GARIBALDI;756588;952453;44,677794;12,236382;603
331;606078;PORTO GARIBALDI VIA DEI M;VIALE DEI MILLE 3;PORTO GARIBALDI;756974;952562;44,678636;12,2413;603
331;606088;PIC-NIC [043];VIALE ALPI ORIENTALI FR. N.127;LIDO DI POMPOSA;756502;956361;44,71295;12,237258;602
331;606091;SAN GIUSEPPE UFFICIO POST;VIA LIDO POMPOSA FR.N.70;SAN GIUSEPPE;755483;957188;44,720747;12,224826;602
331;606094;SAN GIUSEPPE [051];VIA DELLA FONTANA N.10;SAN GIUSEPPE;755062;957170;44,720735;12,21951;602
331;606097;SAN GIUSEPPE FONTANA [052;VIA DELLA FONTANA FR.N.42;SAN GIUSEPPE;754757;957066;44,719909;12,215613;602
331;606104;CORTE ROMAGNA;SP 1a KM39 - VIA LIDI FERRARESI;COMACCHIO;745776;954517;44,70013;12,101159;627
331;606110;GALATTICO [063];VIALE DEL LAGO FR N.1;COMACCHIO;756283;960868;44,753537;12,236758;601
331;606117;SCACCHI VECCHIO [040];VIALE DEGLI SCACCHI FR.N.2;LIDO DEGLI SCACCHI;756092;955665;44,706841;12,231741;602
331;606120;LIDO NAZIONI BAGNO CRIS [;VIALE LUNGOMARE ITALIA FR.N.56;COMACCHIO;756920;959702;44,742829;12,244206;601
331;606123;ARVEDA [070];VIALE LEOPARDI GIACOMO FR. N. 92;LIDO DEGLI ESTENSI;756267;951544;44,669738;12,231884;604
331;606126;LIDO ESTENSI MANZONI [075;VIA MANZONI ALESSANDRO FR. N. 39;LIDO DEGLI ESTENSI;757062;951797;44,671728;12,242024;604
331;606133;LIDO SPINA FIERAMOSCA [10;VIALE VERDI GIUSEPPE FR. N. 76;LIDO DI SPINA;757942;948360;44,640521;12,25138;604
331;606136;LIDO SPINA LA MERIDIANA [;VIALE VERDI GIUSEPPE FR. N. 39;LIDO DI SPINA;757786;948595;44,642689;12,249534;604
331;606139;LIDO SPINA AGENZIA BRUNET;VIALE LEONARDO DA VINCI FR. N. 109;LIDO DI SPINA;757804;948882;44,645262;12,249905;604
331;606142;LIDO SPINA BAR DEL MORO [;VIALE MICHELANGELO N. 1;LIDO DI SPINA;757586;949592;44,651722;12,247517;604
331;615007;OSTELLATO STAZIONE;VIA COMACCHIO FRONTE 89;MIGLIARINO;732397;959344;44,747986;11,934709;623
331;617012;BIVIO CAMPOLUNGO;VIA COMACCHIO 26;OSTELLATO;734656;959292;44,746782;11,963184;626
331;617015;PALAZZINO;VIA COMACCHIO 5;OSTELLATO;735837;959267;44,74617;11,978072;626
331;617018;CORTE FORNACE;VIA COMACCHIO 58;OSTELLATO;737806;958755;44,740916;12,002672;626
331;617025;SAN GIOVANNI;VIA COMACCHIO 268;SAN GIOVANNI;741355;957420;44,727728;12,046806;626
331;617028;BIVIO ARGINE GALLARE;VIA COMACCHIO 211;OSTELLATO;742159;956978;44,723484;12,056735;626
331;617031;BIVIO STRADA VALMARA;VIA LIDI FERRARESI FRONTE 186;OSTELLATO;744961;955819;44,712113;12,09151;626
332;605072;IDICE [139];CODIGORO - LAGOSANTO 13;CODIGORO;746437;967261;44,814459;12,115646;617
332;606010;VACCOLINO [205];ROMEA 48;VACCOLINO;751475;966012;44,801478;12,178647;629
332;606013;CA` CANTIN PIZZERIA;ROMEA 3;COMACCHIO;752285;962795;44,772277;12,18728;629
332;606020;VIA VALLI BASSE 15;PODERALE VALLI BASSE F15;COMACCHIO;754638;961568;44,760415;12,216358;601
332;606039;VACCOLINO PER LAGOSANTO [;LAGOSANTO - VACCOLINO 120;VACCOLINO;751435;965936;44,800809;12,178105;629
332;606045;BIVIO VALLI BASSE;STRADA ROMEA (LIDO DELLE NAZIONI);COMACCHIO;752711;961678;44,762087;12,192102;601
332;606081;VOLANO - VIA DEL BOSCO 2;VIALE DEL BOSCO 53;LIDO DI VOLANO;758089;965559;44,79505;12,261913;605
332;606087;PIC-NIC [043];VIALE ALPI ORIENTALI N.111;LIDO DI POMPOSA;756519;956436;44,713618;12,237509;602
332;606090;LIDO POMPOSA [046];VIALE DOLOMITI N.39;LIDO DI POMPOSA;756451;957041;44,71908;12,236956;602
332;606097;SAN GIUSEPPE FONTANA [052;VIA DELLA FONTANA FR.N.42;SAN GIUSEPPE;754757;957066;44,719909;12,215613;602
332;606100;CAMPING TAHITI [055];VIALE LIBIA 80;LIDO DELLE NAZIONI;755959;958741;44,734535;12,231605;601
332;606103;CONDOMINIO ESEDRA [057];VIA LUNGOMARE ITALIA 39;LIDO DELLE NAZIONI;756690;959134;44,737806;12,24102;601
332;606110;GALATTICO [063];VIALE DEL LAGO FR N.1;COMACCHIO;756283;960868;44,753537;12,236758;601
332;606113;LAGO NAZIONI [064];VIALE DEL LAGO FR LAGO;COMACCHIO;755873;961080;44,755589;12,231693;601
332;606116;SCACCHI [40];VIALE DEGLI SCACCHI N. FR. 43;LIDO DEGLI SCACCHI;756433;955610;44,706225;12,236011;602
332;606119;VIALE GERMANIA [061];VIALE GERMANIA CIV.61;LIDO DELLE NAZIONI;756592;959988;44,745517;12,240213;601
332;606126;LIDO ESTENSI MANZONI [075;VIA MANZONI ALESSANDRO FR. N. 39;LIDO DEGLI ESTENSI;757062;951797;44,671728;12,242024;604
332;611006;LAGOSANTO [129];VIA ROMA 6;LAGOSANTO;748568;961916;44,765677;12,139948;628
332;611009;BOSCHETTO [208];STRADA PROVINCIALE (BORGATA BOSCHETTO);BOSCHETTO;750472;965256;44,795035;12,165613;628
332;611012;BOSCHETTO SCUOLE [209];LAGOSANTO - VACCOLINO 50;BOSCHETTO;750396;964540;44,788626;12,164301;628
332;611015;CORTE ROSMUNDA [211];STRADA PROVINCIALE (BORGATA BOSCHETTO);LAGOSANTO;749939;962460;44,770089;12,157513;628
332;611028;BOTTICINA [136];SP53;LAGOSANTO;746686;964572;44,790202;12,117487;628
332;611035;MAROZZO [213];VIA PONTE DOLO;LAGOSANTO;747544;963488;44,780162;12,127791;628
332;611038;LAGOSANTO [129];VIA ROMA 3;LAGOSANTO;748581;961908;44,7656;12,140108;628
332;611041;CASE FORMICA [218];SP21 LAGOSANTO - VACCOLINO FR.64;BOSCHETTO;750395;964813;44,79108;12,164423;628
332;690132;VIA DEL MARE [132];VIA DEL MARE 36;LAGOSANTO;749050;961813;44,764583;12,145979;628
333;605024;CODIGORO STAZIONE [143];P.LE PAPA GIOVANNI 23 F.29;CODIGORO;745321;969558;44,835491;12,102661;617
333;605072;IDICE [139];CODIGORO - LAGOSANTO 13;CODIGORO;746437;967261;44,814459;12,115646;617
333;605082;EX SCUOLE [135];SP 53 CODIGORO - LAGOSANTO 48;CODIGORO;747056;963884;44,78389;12,121824;628
333;606004;LIDO ESTENSI LOGONOVO [08;VIALE DEI TIGLI N.29;LIDO DEGLI ESTENSI;757171;950574;44,660697;12,242784;604
333;606007;LIDO ESTENSI CHIESA [082];VIALE DEGLI ULIVI FR. N. 12;LIDO DEGLI ESTENSI;756959;951242;44,666777;12,240449;604
333;606023;CORTE LAZIO [121];VIA ARGINE SPINO N.FR. 23;COMACCHIO;747964;957792;44,728816;12,130323;627
333;606026;BUCHETTO [028];VIALE DELLE REGIONI 100 M PRIMA SP.15;COMACCHIO;749471;957868;44,728976;12,149363;627
333;606033;CORTE DOROTEA [025];S.P.15 N.17;COMACCHIO;750435;955939;44,711301;12,160573;627
333;606036;PALAZZINE ZUCCHERIFICIO C;VIA ZUCCHERIFICIO 210 METRI DOPO INCR. C;COMACCHIO;750957;954805;44,700925;12,166597;627
333;606042;LIDO DI SPINA DEGLI ETRUS;VIALE ETRUSCHI;COMACCHIO;756903;948306;44,640408;12,238273;604
333;606049;COMACCHIO OSPEDALE;VIA RAIMONDO FELETTI;COMACCHIO;752761;954244;44,69525;12,189055;627
333;606052;COMACCHIO ZUCCHERIFICIO [;VIA SPINA INCR. VILLAGGIO SAN FRANCESCO;COMACCHIO;751061;954607;44,699109;12,16781;627
333;606055;COMACCHIO EX MUTUA [015];VIA SPINA N. FR. 75;COMACCHIO;751682;954354;44,696618;12,175512;627
333;606062;COMACCHIO DISPENSARIO [00;VIA MARINA N.FR.41;COMACCHIO;752739;953615;44,689604;12,188468;627
333;606065;COMACCHIO DISPENSARIO [00;VIA MARINA 31;COMACCHIO;752634;953715;44,690539;12,187194;627
333;606068;COMACCHIO CIMITERO;VIA STRADA PROVINCIALE PER OSTELLATO;COMACCHIO;754025;952392;44,678157;12,204065;603
333;606071;COMACCHIO DEPOSITO [021];S.P. COMACCHIO FR. N.40;COMACCHIO;754657;952301;44,677115;12,211981;603
333;606078;PORTO GARIBALDI VIA DEI M;VIALE DEI MILLE 3;PORTO GARIBALDI;756974;952562;44,678636;12,2413;603
333;606123;ARVEDA [070];VIALE LEOPARDI GIACOMO FR. N. 92;LIDO DEGLI ESTENSI;756267;951544;44,669738;12,231884;604
333;606126;LIDO ESTENSI MANZONI [075;VIA MANZONI ALESSANDRO FR. N. 39;LIDO DEGLI ESTENSI;757062;951797;44,671728;12,242024;604
321;600697;BORGO TARAPINO;FERRARA - FORMIGNANA F249;FERRARA;716679;969452;44,843805;11,740687;620
321;600700;CONTRAPO`;FERRARA - FORMIGNANA 93;CONTRAP+Æ;715316;969226;44,842185;11,723364;620
321;600707;CA` GRILLANDA;VIA MASSAFISCAGLIA 506;FERRARA;725603;966947;44,818518;11,852358;621
321;600710;ALFONSO D`ESTE MEDAGLIE D;VIALE ALFONSO I D`ESTE;FERRARA;708199;967766;44,831167;11,63281;600
321;600916;BIVIO VALPAGLIARO;VIA POMPOSA;FERRARA;726271;965806;44,808048;11,860289;621
321;607049;FOSSALTA;FERRARA - FORMIGNANA 9;FOSSALTA;718636;970218;44,850096;11,765751;620
321;607052;BATANA;FERRARA - FORMIGNANA F112;COPPARO;721052;969379;44,841808;11,795924;621
321;607055;SABBIONCELLO S.PIETRO CHI;FERRARA - FORMIGNANA F78;COPPARO;722101;969069;44,838695;11,809046;621
321;607145;PONTE FOSSALTA;PONTE DI VICONOVO;FERRARA;718606;969871;44,846985;11,765223;620
321;609028;DENORE VIA ALBERELLO;VIA MASSAFISCAGLIA CIV. 448;FERRARA;724764;967513;44,823872;11,84201;621
322;600294;POMPOSA JUGOSLAVIA;VIA POMPOSA F90;FERRARA;708691;967557;44,829144;11,638941;600
322;600374;CAPITELLO;VIA DELLA GINESTRA 217;FERRARA;713212;965814;44,812135;11,69534;600
322;600650;CONA TAMBELLINA [919];VIA TAMBELLINA 326;CONA;714415;965243;44,806641;11,710296;600
322;600660;BIVIO VILLANOVA;VIA POMPOSA;FERRARA;722138;966918;44,819343;11,808573;621
322;600663;PAROLINO;VIA DEL MARE 461;FERRARA;719709;967529;44,825588;11,778151;620
322;600666;BIVIO FOCOMORTO;VIA DEL MARE F260;FERRARA;711540;967310;44,826085;11,67484;600
322;600670;CASA BIANCA;VIA DEL MARE 296;FERRARA;712394;967435;44,826956;11,685684;600
322;600673;CASA MAGRINI;VIA DEL MARE 315;FERRARA;713632;967498;44,827153;11,701353;620
322;600676;PALAZZINA;VIA DEL MARE 344;FERRARA;715629;967528;44,826823;11,726599;620
322;600679;BIVIO CONTRAPO`;VIA DEL MARE 369;FERRARA;716332;967553;44,826835;11,735493;620
322;600686;VIA DEL MARE 441;VIA DEL MARE 441;FERRARA;719077;967564;44,826097;11,770181;620
322;600882;CODREA ARCI [917];VIA TAMBELLINA 228;CODREA;714770;966263;44,815706;11,715211;620
322;600914;BIVIO PARASACCO;VIA DEL MARE F537;FERRARA;726793;965630;44,8063;11,866803;621
322;600917;BIVIO DENORE;VIA POMPOSA;FERRARA;724310;966315;44,813243;11,835745;621
322;600920;BV QUARANTA STAIA;VIA POMPOSA;FERRARA;722919;966674;44,816906;11,818332;621
322;605001;MEZZOGORO [613];VIA BENGASI 72;MEZZOGORO;744762;976646;44,899397;12,099019;615
322;605004;PASSERELLA SCHIAVI [610];VIA BENGASI 211;MEZZOGORO;744770;976208;44,895457;12,098908;615
322;605011;PONTE REALE PER CODIGORO;DI CODIGORO 2;CODIGORO;743855;972096;44,858808;12,085359;617
322;605014;PONTE FOSSETTO [603];DI CODIGORO F68;CODIGORO;744508;971484;44,853083;12,093317;617
322;605017;CASE BRUCIATE [601];DI CODIGORO 37;CODIGORO;745738;970874;44,847177;12,108565;617
322;605020;BIVIO PONTE VITTORIA [622;DI CODIGORO 68;CODIGORO;745337;979468;44,924565;12,107659;615
322;605043;BIVIO LE CONTANE [621];DI CODIGORO 3;CODIGORO;744992;979126;44,92161;12,103128;615
322;605056;TENUTA BOSCA;LOC PER LE VENEZIE F18;CODIGORO;741985;971974;44,858348;12,061666;617
322;610006;TENUTA ALESSANDRIA [451];LOC GRAN LINEA 20;JOLANDA DI SAVOIA;737372;975086;44,887873;12,004819;616
322;610019;CORTE LIBIA [433];TRESIGALLO - JOLANDA DI SAVOIA F19;JOLANDA DI SAVOIA;735274;973445;44,873816;11,977526;616
322;610026;TRESIGALLO CASA CANTONIER;VIA JOLANDA DI SAVOIA F12;JOLANDA DI SAVOIA;730739;969194;44,83708;11,918255;621
322;610029;CORTE IPPOLITO;LOC PER LE VENEZIE 50;JOLANDA DI SAVOIA;739659;973220;44,870334;12,032857;616
322;610032;CORTE ROMA;COPPARO - CODIGORO 29;JOLANDA DI SAVOIA;738335;974048;44,878221;12,016508;616
322;610035;FONDO MANDRIAZZA;COPPARO - CODIGORO 22;JOLANDA DI SAVOIA;737271;974342;44,881219;12,003193;616
322;610042;CORTE TROTTO [437];LOC CISI F2;JOLANDA DI SAVOIA;735319;972601;44,866214;11,977703;621
322;610045;CORTE CISI [439];LOC CISI F6;JOLANDA DI SAVOIA;734653;970860;44,850782;11,968479;621
322;610048;MOTTATONDA;LOC GHERARDI 1;JOLANDA DI SAVOIA;734404;969497;44,83861;11,964703;621
322;610051;FONDO CASINO;VIA CANALONE 7;JOLANDA DI SAVOIA;732619;968727;44,832271;11,941796;621
322;610061;CORTE ROMA;COPPARO - COGIGORO FR 29;JOLANDA DI SAVOIA;738354;974032;44,87807;12,016741;616
322;610064;VIA CANALONE;VIA CANALONE FR 17;JOLANDA DI SAVOIA;731108;967216;44,819177;11,922018;621
322;614000;TRATTORIA RANDOLA [623];LOC PER ARIANO 92;CODIGORO;745586;980210;44,931149;12,11117;615
322;614042;ARIANO FERRARESE [626];PIAZZA GARIBALDI 26;ARIANO FERRARESE;746097;981468;44,94228;12,118248;615
322;614045;ARIANO CASE INA [625];VIA GIUSEPPE VERDI;MESOLA;745635;981154;44,939618;12,112249;615
322;624001;ASINARDELLA;VIA DELLE VENEZIE 17;TRESIGALLO;729571;968028;44,826973;11,90297;621
322;624008;FINAL DI RERO [316];VIA DEL MARE 11;FINALE DI RERO;727443;965816;44,807766;11,875095;621
322;624011;BORGO MISTRI [339];VIA TOSCANINI A. 12;TRESIGALLO;728822;965459;44,804116;11,892351;621
322;624014;BIVIO RERO [343];COPPARO - MIGLIARINO F66;RERO;728918;965081;44,800687;11,893393;621
322;624024;PALAZZO PIO [333];VIA DEL MARE 172;TRESIGALLO;730216;966746;44,81524;11,910538;621
323;600193;PIAZZALE MEDAGLIE D`ORO;PLE DELLE MEDAGLIE D`ORO 205;FERRARA;708181;967868;44,83209;11,632624;600
323;600203;GIOVECCA CITTA` DELLA SAL;CSO DELLA GIOVECCA F180;FERRARA;708044;967953;44,832894;11,630927;600
323;600206;GIOVECCA PARCO PARESCHI;CSO DELLA GIOVECCA 148;FERRARA;707848;968055;44,833868;11,628492;600
323;600209;GIOVECCA TEATINI;CSO DELLA GIOVECCA 47;FERRARA;707318;968417;44,837278;11,621942;600
323;600280;VIA CRISPA 2A [907];;FOCOMORTO;711534;968032;44,832579;11,675065;600
323;600283;VIA CRISPA 2A [907];;FOCOMORTO;711474;968043;44,832696;11,674311;600
323;600286;VIA PIOPPA 2A [905];VIA PIOPPA;FERRARA;710307;967819;44,831026;11,659471;600
323;600293;POMPOSA JUGOSLAVIA;VIA POMPOSA 94;FERRARA;708736;967528;44,82887;11,639498;600
247;20531;VILLA FONTANA;VIA ERCOLE DELLA VALLE FR 69;VILLA FONTANA;707671;930480;44,496006;11,611032;523
247;20560;PALAZZO IMPICCATI;VIA A ROSSI 135;VILLA FONTANA;707892;929658;44,48855;11,613478;523
247;20563;MEDICINA VIA FAVA;VIA FAVA FR VIA LUMINASI;MEDICINA;710359;928511;44,477521;11,644006;523
247;22642;ALBERINO;VIA S.FERRARI 195;SAN PIETRO CAPOFIUME;710112;947925;44,652183;11,648819;536
247;24589;SANT`ANTONIO PONTE IDICE;VIA IDICE 1426;MEDICINA;715364;939109;44,571351;11,71129;526
247;25505;VIA NUOVA CENTRO;VIA NUOVA 874/A;VIA NUOVA;713309;928592;44,477385;11,681092;523
247;25511;NUOVA CAMPOLUPO;VIA NUOVA 2760;MEDICINA;714133;930234;44,491908;11,692121;523
247;25518;BUDA;VIA NUOVA 4341;MEDICINA;714916;931733;44,505156;11,702581;523
247;25521;BUDA CENTRO;VIA DEL SIGNORE 60;CASE CACCIATORI;715286;932394;44,510989;11,707506;523
247;26558;PORTONOVO BIVIO;VIA CAPPELLETTI 520;MEDICINA;716644;938179;44,562605;11,727001;526
247;26561;DUE CIPRESSI;SP VIA BASSA 579;MEDICINA;716953;937647;44,557728;11,730664;526
247;26574;PORTONOVO CASELLO;VIA BASSA 36;MEDICINA;718693;935566;44,538489;11,751665;526
247;26577;DOVESI;VIA PORTONOVO 4212;PORTONOVO;719064;935065;44,533872;11,756117;526
247;28499;CASTEL GUELFO Z.I.VIA FOR;VIA FORD (LATO OUTLET);CASTEL GUELFO DI BOLOGNA;707512;923314;44,431605;11,606163;524
247;28502;CASTEL S.PIETRO T. ZONA A;VIA COVA FR BV FLEMING;CASTEL SAN PIETRO TERME;706135;920306;44,404946;11,587686;513
247;28505;CASTEL SAN PIETRO INGR. A;VIA SAN CARLO FR 1530;CASTEL SAN PIETRO TERME;707096;922127;44,421049;11,600468;513
247;28512;CARTARA;VIA SAN CARLO FR 2117;CASTEL GUELFO DI BOLOGNA;708674;926750;44,462172;11,622131;523
247;28537;COOP QUADRI;VIA IDICE BV BARILLI;MEDICINA;714713;939662;44,576518;11,70333;526
247;28557;MOLINELLA STAZIONE;VIA CIRCONVALLAZIONE LATO FERROVIA;MOLINELLA;711786;945227;44,62743;11,668796;536
247;110104;IMOLA GALASSI;VIA EMILIA 50 MT. PRIMA BV VIA GALASSI;IMOLA;714023;916118;44,364997;11,684918;510
247;110110;AMENDOLA;VIALE AMENDOLA 95;IMOLA;715398;915430;44,358403;11,70187;510
247;122102;IMOLA AUTOSTAZIONE;TERMINAL IMOLA;IMOLA;716596;915415;44,357911;11,71688;510
247;131141;PARCO TITO;VIA VILLA CLELIA FR 17;IMOLA;715438;914986;44,354398;11,702188;510
247;132105;BIANCONCINI;V.LE SAFFI FR 43;IMOLA;716013;914808;44,352626;11,709321;510
247;150109;IMOLA GRATTACIELO;V.LE DANTE 7/ABC;IMOLA;716302;914383;44,348718;11,712767;510
248;11905;CASTEL S.PIETRO T. SCUOLE;VIALE TERME 30;CASTEL SAN PIETRO TERME;706292;919243;44,395341;11,589233;513
248;11918;TERME DI CASTEL S.PIETRO;PIAZZALE TERME;CASTEL SAN PIETRO TERME;706304;917967;44,383861;11,588878;513
248;20542;MEDICINA;VIA DELLA LIBERTA` 16;MEDICINA;709836;928533;44,477871;11,637445;523
248;20568;MEDICINA SAN CARLO;VIA SAN CARLO FR 164/A;MEDICINA;709342;927922;44,47252;11,630993;523
248;28500;CASTEL GUELFO Z.I.VIA FOR;VIA FORD (LATO STABILIMENTO FORD);CASTEL SAN PIETRO TERME;707562;923275;44,43124;11,606775;524
248;28507;SAN CARLO MADONNA DI POGG;VIA SAN CARLO PASSO CARRABILE DEL CIVICO;CASTEL SAN PIETRO TERME;708008;925019;44,446797;11,613072;523
248;28510;POGGIO PICCOLO SAN CARLO;VIA SAN CARLO FR 7/B;CASTEL GUELFO DI BOLOGNA;707701;924337;44,440751;11,608945;524
25;105;RIZZOLI;VIA RIZZOLI 5/B;BOLOGNA;686519;929666;44,494455;11,344922;500
25;202;DUE TORRI;VIA SAN VITALE 20;BOLOGNA;686751;929681;44,49453;11,347843;500
25;301;SFERISTERIO;VIA IRNERIO 11;BOLOGNA;686682;930337;44,500449;11,347213;500
25;452;MARCONI;VIA MARCONI 16/F;BOLOGNA;685919;929938;44,497057;11,33748;500
25;459;PIAZZA DEI MARTIRI;VIA MARCONI 69/E;BOLOGNA;686068;930363;44,500841;11,339505;500
