codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
103;11572;S.CLEMENTE DI RIGNANO BOL;VIA SILLARO FR 6;MONTERENZIO;698202;910638;44,3202;11,484474;528
103;11575;S.CLEMENTE RIGNANO B. CHI;VIA SILLARO 16;MONTERENZIO;697872;910459;44,31868;11,480272;528
103;11588;VILLAGGIO SALUTE PIU`;VIA SILLARO FR 2;MONTERENZIO;696326;909532;44,310761;11,460554;528
103;11591;CASA OTTAVIA;VIA SILLARO FR 31;MONTERENZIO;695830;909145;44,307414;11,454196;528
103;11604;LA PINETA;VIA SILLARO FR BV SASSONERO;MONTERENZIO;696215;905405;44,27367;11,457614;528
103;11607;CASETTO;VIA SILLARO 71;CASALFIUMANESE;696900;904944;44,269338;11,466016;529
103;11620;CUVIOLO BIVIO;VIA SILLARO BV GESSO;CASALFIUMANESE;698442;904410;44,264117;11,485116;529
103;11623;SASSOLEONE;VIA SILLARO 35;SASSOLEONE;698269;903988;44,260368;11,482791;529
103;11636;BELVEDERE COLLINA;VIA SILLARO 57;CASTEL DEL RIO;697959;901244;44,235771;11,477874;529
1;110121;PISACANE;VIA PISACANE FR 60/62;IMOLA;717011;914621;44,350647;11,721751;510
1;114102;IMOLA CENTRO COMMERCIALE;VIALE CARDUCCI FR 38;IMOLA;715854;915360;44,357638;11,707557;510
1;114105;IMOLA PALESTRA;VIALE CARDUCCI FR 11;IMOLA;716375;915251;44,356502;11,714042;510
1;115101;IMOLA TURISMO;VIA PISACANE 47;IMOLA;717171;914482;44,349349;11,723699;510
1;120101;IMOLA AUTOSTAZIONE;VIA COSTA 45;IMOLA;716645;915356;44,357366;11,71747;510
1;120104;IMOLA STAZIONE;P.LE MARABINI FR 4;IMOLA;716741;915544;44,359028;11,718752;510
1;122105;IMOLA MARCONI;VIA MARCONI FR 73;IMOLA;715922;915789;44,361476;11,708587;510
1;122115;IMOLA VITTORIO VENETO;V.LE MARCONI FR 14;IMOLA;716298;915616;44,359808;11,713229;510
1;124113;IMOLA PONTESANTO;VIA PAMBERA FR 118;IMOLA;715124;916404;44,367243;11,698838;510
